"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_symbol","ensembl_id","feature_num"
4.28186914910944e-46,1.85502678724447,0.413,0.08,6.62790525590651e-42,"25","Feature17074","Smad5",NA,17074
7.16993944733283e-46,2.43342947750491,0.28,0.041,1.10983492705265e-41,"25","Feature16944","Slc45a4",NA,16944
1.1164608922601e-45,1.8728684018849,0.56,0.141,1.7281698151294e-41,"25","Feature15038","Psph",NA,15038
1.36565062744456e-45,1.51054202601395,0.407,0.076,2.11389060622143e-41,"25","Feature17659","St3gal6",NA,17659
1.50962330572615e-45,1.84112851543517,0.68,0.212,2.33674591493351e-41,"25","Feature13984","Pdia4",NA,13984
2.07152139944943e-45,2.0353310550067,0.36,0.063,3.20650797420777e-41,"25","Feature5650","Elmod2",NA,5650
2.27810424787944e-45,1.76183823672481,0.8,0.34,3.52627756529259e-41,"25","Feature12295","Nudc",NA,12295
2.59041364408645e-45,1.98952011290782,0.287,0.042,4.00970127968142e-41,"25","Feature6412","Fosl2",NA,6412
2.59722531599896e-45,1.6868123139797,0.293,0.044,4.02024506663478e-41,"25","Feature5680","Emp1",NA,5680
2.60072383240294e-45,2.15371628566939,0.38,0.071,4.02566042017652e-41,"25","Feature17483","Spice1",NA,17483
4.38825887354157e-45,1.97734987991088,0.62,0.18,6.79258591035499e-41,"25","Feature5181","Dnajc15",NA,5181
4.52968866170125e-45,1.73183232500392,0.387,0.073,7.01150507944737e-41,"25","Feature12409","Odf2l",NA,12409
6.36561279444627e-45,2.27981427316843,0.327,0.054,9.85333204452338e-41,"25","Feature4374","Crtc3",NA,4374
8.65541991354976e-45,1.86476534892678,0.313,0.05,1.33977244841837e-40,"25","Feature20621","Zfp703",NA,20621
8.7004902483861e-45,1.55601691378,0.907,0.553,1.34674888554768e-40,"25","Feature5554","Egr1",NA,5554
1.30932794187384e-44,2.27384912919733,0.42,0.089,2.02670872122652e-40,"25","Feature5354","Dusp18",NA,5354
2.85483133826781e-44,2.38686137237357,0.293,0.046,4.41899342850475e-40,"25","Feature15799","Rnf32",NA,15799
3.40500322705475e-44,0.60898451406865,0.78,0.254,5.27060449515805e-40,"25","Feature9416","Klf2",NA,9416
4.19900270126999e-44,1.04455034519829,0.613,0.155,6.49963628129582e-40,"25","Feature8301","Hes1",NA,8301
5.03072180784138e-44,2.01473233062779,0.313,0.051,7.78705428635767e-40,"25","Feature4066","Cmtm4",NA,4066
7.67885637986721e-44,2.0597349405601,0.513,0.13,1.18861017903964e-39,"25","Feature8769","Ift46",NA,8769
1.00158372787788e-43,1.59093203180462,0.56,0.145,1.55035145238218e-39,"25","Feature17903","Synm",NA,17903
1.00417599723523e-43,2.55640151018578,0.253,0.035,1.55436402612042e-39,"25","Feature12271","Nthl1",NA,12271
1.52369812421358e-43,1.87433534276017,0.52,0.13,2.35853232647021e-39,"25","Feature18183","Tctex1d2",NA,18183
3.16142983647898e-43,1.45565300479502,0.687,0.208,4.89357724388581e-39,"25","Feature4479","Ctnna1",NA,4479
8.11573853819404e-43,1.33881670762346,0.813,0.322,1.25623516832706e-38,"25","Feature12281","Ntrk2",NA,12281
8.58274108032829e-43,2.19752662334619,0.393,0.08,1.32852249182402e-38,"25","Feature1955","Ankrd54",NA,1955
9.53680507012276e-43,2.37219156010127,0.3,0.049,1.4762020568043e-38,"25","Feature401","2210408I21Rik",NA,401
1.39266026063631e-42,2.33519500310768,0.427,0.095,2.15569881743895e-38,"25","Feature20098","Wdyhv1",NA,20098
1.57650631465026e-42,2.17080039326508,0.26,0.038,2.44027412444714e-38,"25","Feature12149","Nphp3",NA,12149
